image_name,category_label,category_name,category_type,x_1,y_1,x_2,y_2,evaluation_status
img/Sheer_Pleated-Front_Blouse/img_00000001.jpg,3,Blouse,1,72,79,232,273,train
img/Sheer_Pleated-Front_Blouse/img_00000002.jpg,3,Blouse,1,67,59,155,161,train
img/Sheer_Pleated-Front_Blouse/img_00000004.jpg,3,Blouse,1,51,62,167,182,train
img/Sheer_Pleated-Front_Blouse/img_00000008.jpg,3,Blouse,1,75,74,197,246,train
img/Sheer_Pleated-Front_Blouse/img_00000009.jpg,3,Blouse,1,24,56,149,235,train
img/Sheer_Pleated-Front_Blouse/img_00000010.jpg,3,Blouse,1,19,96,192,203,train
img/Sheer_Pleated-Front_Blouse/img_00000011.jpg,3,Blouse,1,44,10,147,270,train
img/Sheer_Pleated-Front_Blouse/img_00000012.jpg,3,Blouse,1,68,82,190,290,train
img/Sheer_Pleated-Front_Blouse/img_00000014.jpg,3,Blouse,1,71,46,177,229,train
img/Sheer_Pleated-Front_Blouse/img_00000016.jpg,3,Blouse,1,20,86,178,276,train
img/Sheer_Pleated-Front_Blouse/img_00000017.jpg,3,Blouse,1,11,61,177,240,train
img/Sheer_Pleated-Front_Blouse/img_00000018.jpg,3,Blouse,1,79,47,174,159,train
img/Sheer_Pleated-Front_Blouse/img_00000021.jpg,3,Blouse,1,36,76,180,255,train
img/Sheer_Pleated-Front_Blouse/img_00000022.jpg,3,Blouse,1,68,18,168,139,train
img/Sheer_Pleated-Front_Blouse/img_00000023.jpg,3,Blouse,1,38,86,204,300,train
img/Sheer_Pleated-Front_Blouse/img_00000024.jpg,3,Blouse,1,48,68,148,217,train
img/Sheer_Pleated-Front_Blouse/img_00000025.jpg,3,Blouse,1,51,69,160,267,train
img/Sheer_Pleated-Front_Blouse/img_00000026.jpg,3,Blouse,1,44,74,172,237,train
img/Sheer_Pleated-Front_Blouse/img_00000030.jpg,3,Blouse,1,90,93,172,248,train
img/Sheer_Pleated-Front_Blouse/img_00000032.jpg,3,Blouse,1,71,79,243,298,train
img/Sheer_Pleated-Front_Blouse/img_00000033.jpg,3,Blouse,1,102,63,194,261,train
img/Sheer_Pleated-Front_Blouse/img_00000034.jpg,3,Blouse,1,98,64,206,257,train
img/Sheer_Pleated-Front_Blouse/img_00000035.jpg,3,Blouse,1,2,90,196,299,train
img/Sheer_Pleated-Front_Blouse/img_00000036.jpg,3,Blouse,1,59,69,145,258,train
img/Sheer_Pleated-Front_Blouse/img_00000037.jpg,3,Blouse,1,35,51,133,198,train
img/Sheer_Pleated-Front_Blouse/img_00000038.jpg,3,Blouse,1,113,93,229,262,train
img/Sheer_Pleated-Front_Blouse/img_00000040.jpg,3,Blouse,1,21,51,117,180,train
img/Sheer_Pleated-Front_Blouse/img_00000041.jpg,3,Blouse,1,99,92,224,300,train
img/Sheer_Pleated-Front_Blouse/img_00000042.jpg,3,Blouse,1,6,74,212,300,train
img/Sheer_Pleated-Front_Blouse/img_00000043.jpg,3,Blouse,1,60,67,190,247,train
img/Sheer_Pleated-Front_Blouse/img_00000044.jpg,3,Blouse,1,60,51,161,211,train
img/Sheer_Pleated-Front_Blouse/img_00000046.jpg,3,Blouse,1,65,75,147,260,train
img/Sheer_Pleated-Front_Blouse/img_00000047.jpg,3,Blouse,1,1,1,298,300,train
img/Sheer_Pleated-Front_Blouse/img_00000048.jpg,3,Blouse,1,104,75,202,235,train
img/Sheer_Pleated-Front_Blouse/img_00000049.jpg,3,Blouse,1,47,77,163,260,train
img/Sheer_Pleated-Front_Blouse/img_00000052.jpg,3,Blouse,1,36,55,156,132,train
img/Sheer_Pleated-Front_Blouse/img_00000055.jpg,3,Blouse,1,14,75,145,241,train
img/Sheer_Pleated-Front_Blouse/img_00000057.jpg,3,Blouse,1,19,83,183,196,train
img/Sheer_Pleated-Front_Blouse/img_00000059.jpg,3,Blouse,1,166,41,246,168,train
img/Sheer_Pleated-Front_Blouse/img_00000060.jpg,3,Blouse,1,41,86,155,225,train
img/Sheer_Pleated-Front_Blouse/img_00000062.jpg,3,Blouse,1,52,51,170,185,train
img/Sheer_Pleated-Front_Blouse/img_00000063.jpg,3,Blouse,1,17,15,217,283,train
img/Sheer_Pleated-Front_Blouse/img_00000064.jpg,3,Blouse,1,13,1,158,225,train
img/Sheer_Pleated-Front_Blouse/img_00000066.jpg,3,Blouse,1,19,17,223,300,train
img/Sheer_Pleated-Front_Blouse/img_00000067.jpg,3,Blouse,1,36,86,204,288,train
img/Sheer_Pleated-Front_Blouse/img_00000068.jpg,3,Blouse,1,14,50,224,289,train
img/Sheer_Pleated-Front_Blouse/img_00000069.jpg,3,Blouse,1,23,101,210,300,train
img/Sheer_Pleated-Front_Blouse/img_00000070.jpg,3,Blouse,1,72,88,143,150,train
img/Sheer_Pleated-Front_Blouse/img_00000071.jpg,3,Blouse,1,89,15,154,114,train
img/Sheer_Pleated-Front_Blouse/img_00000074.jpg,3,Blouse,1,82,7,132,94,train
img/Sheer_Pleated-Front_Blouse/img_00000075.jpg,3,Blouse,1,35,17,178,207,train
img/Sheer_Pleated-Front_Blouse/img_00000077.jpg,3,Blouse,1,1,47,236,286,train
img/Sheer_Pleated-Front_Blouse/img_00000078.jpg,3,Blouse,1,1,1,208,300,train
img/Sheer_Pleated-Front_Blouse/img_00000079.jpg,3,Blouse,1,38,81,223,275,train
img/Sheer_Pleated-Front_Blouse/img_00000080.jpg,3,Blouse,1,3,32,197,263,train
img/Sheer_Pleated-Front_Blouse/img_00000081.jpg,3,Blouse,1,43,56,186,213,train
img/Sheer_Pleated-Front_Blouse/img_00000082.jpg,3,Blouse,1,1,14,300,300,train
img/Sheer_Pleated-Front_Blouse/img_00000083.jpg,3,Blouse,1,68,60,175,256,train
img/Sheer_Pleated-Front_Blouse/img_00000084.jpg,3,Blouse,1,61,19,191,242,train
img/Sheer_Pleated-Front_Blouse/img_00000086.jpg,3,Blouse,1,1,70,262,298,train
img/Sheer_Pleated-Front_Blouse/img_00000087.jpg,3,Blouse,1,44,79,135,175,train
img/Sheer_Pleated-Front_Blouse/img_00000088.jpg,3,Blouse,1,29,42,193,221,train
img/Sheer_Pleated-Front_Blouse/img_00000089.jpg,3,Blouse,1,41,30,216,270,train
img/Sheer_Pleated-Front_Blouse/img_00000090.jpg,3,Blouse,1,3,94,214,291,train
img/Sheer_Pleated-Front_Blouse/img_00000092.jpg,3,Blouse,1,84,48,149,147,train
img/Sheer_Pleated-Front_Blouse/img_00000093.jpg,3,Blouse,1,69,71,182,248,train
img/Sheer_Pleated-Front_Blouse/img_00000094.jpg,3,Blouse,1,58,96,189,300,train
img/Sheer_Pleated-Front_Blouse/img_00000095.jpg,3,Blouse,1,1,1,300,238,train
img/Sheer_Pleated-Front_Blouse/img_00000097.jpg,3,Blouse,1,45,50,143,162,train
img/Sheer_Pleated-Front_Blouse/img_00000098.jpg,3,Blouse,1,47,70,153,231,train
img/Sheer_Pleated-Front_Blouse/img_00000100.jpg,3,Blouse,1,77,71,249,288,train
img/Sheer_Pleated-Front_Blouse/img_00000101.jpg,3,Blouse,1,45,67,163,166,train
img/Sheer_Pleated-Front_Blouse/img_00000102.jpg,3,Blouse,1,16,66,173,271,train
img/Sheer_Pleated-Front_Blouse/img_00000103.jpg,3,Blouse,1,44,50,162,151,train
img/Sheer_Pleated-Front_Blouse/img_00000104.jpg,3,Blouse,1,69,81,226,279,train
img/Sheer_Pleated-Front_Blouse/img_00000105.jpg,3,Blouse,1,44,76,204,274,train
img/Sheer_Pleated-Front_Blouse/img_00000106.jpg,3,Blouse,1,38,1,277,300,train
img/Sheer_Pleated-Front_Blouse/img_00000108.jpg,3,Blouse,1,63,67,169,239,train
img/Sheer_Pleated-Front_Blouse/img_00000109.jpg,3,Blouse,1,18,25,278,280,train
img/Sheer_Pleated-Front_Blouse/img_00000110.jpg,3,Blouse,1,24,94,181,250,train
img/Sheer_Pleated-Front_Blouse/img_00000113.jpg,3,Blouse,1,24,53,140,215,train
img/Sheer_Pleated-Front_Blouse/img_00000114.jpg,3,Blouse,1,73,83,218,278,train
